ID,Local,Num_Duplicates,Rating,Song,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6,Artist 7,Artist 8,Artist 9,Artist 10,Date,Spot_Date,Re_Date,Duration,Album,Popularity,Dance,Energy,Key,Volume,Mode,Speech,Acoustic,Instrumental,Lively,Valence,Tempo,URI 1,URI 2,URI 3,URI 4,URI 5,Artist URI 1,Artist URI 2,Artist URI 3,Artist URI 4,Artist URI 5,Artist URI 6,Artist URI 7,Artist URI 8,Artist URI 9,Artist URI 10
877,No,1,Can't Locate,Johnny B. Goode,Chuck Berry,,,,,,,,,,1959,1959-07-01,Unknown,161560,Berry Is On Top,78,0.534,0.803,10,-9.129,1,0.0743,0.741,6.07E-05,0.307,0.969,167.983,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:293zczrfYafIItmnmM3coR,,,,,,,,,
878,No,1,4,You Never Can Tell,Chuck Berry,,,,,,,,,,1959,1964-11-01,1959,161907,St. Louis To Liverpool,72,0.525,0.852,7,-9.519,1,0.222,0.731,5.11E-05,0.218,0.884,157.404,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:293zczrfYafIItmnmM3coR,,,,,,,,,
3268,No,2,3,"What'd I Say, Pt. 1 & 2",Ray Charles,,,,,,,,,,1959,1959-01-01,1959,307053,What'd I Say,65,0.54,0.681,4,-5.44,1,0.0508,0.808,0,0.162,0.794,88.385,spotify:track:4VsMart0lkjUtyQnmxloK6,spotify:track:6KJQ2dUyRlevBfFwXyqecu,,,,spotify:artist:1eYhYunlNJlDoQhtYBvPsi,,,,,,,,,
876,No,1,3,The Twist,Chubby Checker,,,,,,,,,,1960,2005-01-01,1960,153760,The Best Of Chubby Checker 1959-1963,55,0.533,0.638,4,-7.13,1,0.0341,0.202,0,0.0729,0.937,156.663,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:7qQJQ3YtcGlqaLg5tcypN2,,,,,,,,,
3937,No,1,No Rating,Shop Around,The Miracles,,,,,,,,,,1961,1961-01-01,Unknown,170760,Hi We're The Miracles,51,0.552,0.7,7,-4.533,1,0.0295,0.809,0,0.805,0.901,132.005,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:6TqQLejnHXMGr7KcegxUND,,,,,,,,,
1065,No,1,5,Runaround Sue,Dion,,,,,,,,,,1961,1961-01-01,1961,171600,Runaround Sue,66,0.364,0.607,2,-9.791,1,0.125,0.451,0,0.251,0.598,79.987,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:15FyiY3ChN0QRspHIQYq0W,,,,,,,,,
1294,No,1,4,Can't Help Falling In Love,Elvis Presley,,,,,,,,,,1961,2015-10-30,1961,198600,If I Can Dream: Elvis Presley with the Royal Philharmonic Orchestra,0,0.0899,0.444,2,-9.748,1,0.0375,0.87,0.00548,0.192,0.136,67.232,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:43ZHCT0cAZBISjO8DG9PnE,,,,,,,,,
3263,No,2,4,Hit the Road Jack,Ray Charles,,,,,,,,,,1961,2012-02-23,1961,118267,Georgia On My Mind,60,0.613,0.618,8,-11.831,0,0.257,0.568,0,0.727,0.94,172.741,spotify:track:4VsMart0lkjUtyQnmxloK6,spotify:track:6KJQ2dUyRlevBfFwXyqecu,,,,spotify:artist:1eYhYunlNJlDoQhtYBvPsi,,,,,,,,,
3264,No,1,4,Hit the Road Jack (Remastered),Ray Charles,,,,,,,,,,1961,2011-05-10,1961,117493,Las 66 Favoritas de Jose María Íñigo y José Ramón Pardo. Vol. 1 (1958-1961) [Remastered]],56,0.588,0.768,8,-6.749,0,0.249,0.587,0,0.667,0.961,173.107,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:1eYhYunlNJlDoQhtYBvPsi,,,,,,,,,
3361,No,1,No Rating,"Oh, Pretty Woman",Roy Orbison,,,,,,,,,,1962,1962-01-01,Unknown,178933,"Oh, Pretty Woman",76,0.619,0.603,9,-9.481,1,0.0342,0.712,0,0.0721,0.958,127.433,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:0JDkhL4rjiPNEp92jAgJnS,,,,,,,,,
