ID,Downloaded,Spotify,Remake,Remake ID,Year,Rating,Song,Artists,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6,Artist 7,Artist 8,Artist 9,Artist 10,Artist 11,Christmas
1938,,,,,2018,3,Let Me Down Slowly,Alec Benjamin,Alec Benjamin,,,,,,,,,,,
1939,,,,,2017,5,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld, Alesso, Florida Georgia Line, watt",Hailee Steinfeld,Alesso,Florida Georgia Line,watt,,,,,,,,
1940,,,,,2016,4,Let Me Hold You (Turn Me On),"Cheat Codes, Dante Klein",Cheat Codes,Dante Klein,,,,,,,,,,
1941,,,,,,,Let Me Know (I Wonder Why Freestyle),Juice WRLD,Juice WRLD,,,,,,,,,,,
1942,,,,,2016,3,Let Me Love You,"DJ Snake, Justin Bieber",DJ Snake,Justin Bieber,,,,,,,,,,
1943,,,,,,,Let Me Love You,"SJUR, Chris Crone",SJUR,Chris Crone,,,,,,,,,,
1944,,,,,2007,3,Let Me Think About It - Radio Edit,"Ida Corr, Fedde Le Grand",Ida Corr,Fedde Le Grand,,,,,,,,,,
1945,,,,,2011,3,Let's Do It Again,J Boog,J Boog,,,,,,,,,,,
1946,,,,,2003,4,Let's Get It Started (Spike Mix),Black Eyed Peas,Black Eyed Peas,,,,,,,,,,,
1947,,,,,2014,3,Let's Get Lost (feat. Devon Baldwin),"G-Eazy, Devon Baldwin",G-Eazy,Devon Baldwin,,,,,,,,,,
1948,,,,,1999,4,Let's Get Loud,Jennifer Lopez,Jennifer Lopez,,,,,,,,,,,
1949,,,,,2003,3,Let's Get Retarded,Black Eyed Peas,Black Eyed Peas,,,,,,,,,,,
1950,,,,,2012,3,Let's Go (feat. Ne-Yo),"Calvin Harris, Ne-Yo",Calvin Harris,Ne-Yo,,,,,,,,,,
1951,,,,,,,Let's Go Crazy,Prince,Prince,,,,,,,,,,,
1952,,,,,,,Let's Talk About Sex,Salt-N-Pepa,Salt-N-Pepa,,,,,,,,,,,
1953,,,,,2004,4,Letterbomb,Green Day,Green Day,,,,,,,,,,,
1954,,,,,2011,3,Levels,Avicii,Avicii,,,,,,,,,,,
1955,,,,,,,Levitating,Dua Lipa,Dua Lipa,,,,,,,,,,,
1956,,,,,2019,3,Liar,Camila Cabello,Camila Cabello,,,,,,,,,,,
1957,,,,,2006,4,Liar (It Takes One To Know One),Taking Back Sunday,Taking Back Sunday,,,,,,,,,,,
1958,No,No,,,2011,3,Lick It,"Kaskade, Skrillex, 3LAU",Kaskade,Skrillex,3LAU,,,,,,,,,
1959,,,,,2011,2,Lick It,"Kaskade, Skrillex",Kaskade,Skrillex,,,,,,,,,,
1960,,,,,1976,3,Life in the Fast Lane,Eagles,Eagles,,,,,,,,,,,
1961,,,,,,,Life is Beautiful,Sixx:A.M.,Sixx:A.M.,,,,,,,,,,,
1962,,,,,2021,2,Lifestyle (feat. Adam Levine),"Jason Derulo, Adam Levine, Maroon 5",Jason Derulo,Adam Levine,Maroon 5,,,,,,,,,
1963,,,,,,,Lifestyles of the Rich & Famous,Good Charlotte,Good Charlotte,,,,,,,,,,,
1964,,,,,,,Lift Me Up,Vince Staples,Vince Staples,,,,,,,,,,,
1965,,,,,2015,2,Light It Up (feat. Nyla & Fuse ODG),"Major Lazer, Nyla, Fuse ODG",Major Lazer,Nyla,Fuse ODG,,,,,,,,,
1966,,,,,,,Lights (Nitti Gritti Remix),"San Holo, Nitti Gritti",San Holo,Nitti Gritti,,,,,,,,,,
1967,,,,,,,Like A G6,"Far East Movement, The Cataracs, DEV",Far East Movement,The Cataracs,DEV,,,,,,,,,
1968,,,,,2002,4,Like a Stone,Audioslave,Audioslave,,,,,,,,,,,
1969,,,,,1984,3,Like a Virgin,Madonna,Madonna,,,,,,,,,,,
1970,,,,,2002,3,Like I Love You,Justin Timberlake,Justin Timberlake,,,,,,,,,,,
1971,,,,,2004,3,Like Toy Soldiers,Eminem,Eminem,,,,,,,,,,,
1972,,,,,,,Lil Bebe,DaniLeigh,DaniLeigh,,,,,,,,,,,
1973,,,,,,,lil bit,blackbear,blackbear,,,,,,,,,,,
1974,,,,,,,Lil Wayne Mashup,Sickick,Sickick,,,,,,,,,,,
1975,,,,,2017,3,Lines,bülow,bülow,,,,,,,,,,,
1976,,,,,2005,3,Lips Of An Angel,Hinder,Hinder,,,,,,,,,,,
1977,,,,,,,Liquid Dreams,O-Town,O-Town,,,,,,,,,,,
1978,,,,,,,Lit (feat. Gucci Mane & T-Pain),"Steve Aoki, Yellow Claw, Gucci Mane, T-Pain",Steve Aoki,Yellow Claw,Gucci Mane,T-Pain,,,,,,,,
1979,,,,,1991,4,Lithium,Nirvana,Nirvana,,,,,,,,,,,
1980,,,,,,,Lithium,The Polyphonic Spree,The Polyphonic Spree,,,,,,,,,,,
1981,,,,,2016,2,Little Bit of This (feat. Vince Staples),"Good Times Ahead, Vince Staples",Good Times Ahead,Vince Staples,,,,,,,,,,
1982,,,,,,,Little Bitty Pretty One,"Thurston Harris, The Sharps",Thurston Harris,The Sharps,,,,,,,,,,
1983,,,,,,,Little Drop Of Poison,Tom Waits,Tom Waits,,,,,,,,,,,
1984,,,,,2001,3,Little L,Jamiroquai,Jamiroquai,,,,,,,,,,,
1985,,,,,,,Little Poor Me,Layto,Layto,,,,,,,,,,,
1986,,,,,2004,4,Little Sister,Queens of the Stone Age,Queens of the Stone Age,,,,,,,,,,,
1987,,,,,2013,3,Little Talks,"Julia Sheer, Jon D",Julia Sheer,Jon D,,,,,,,,,,
1988,,,,,,,Litty (feat. Tory Lanez),"Meek Mill, Sound M.O.B., Tory Lanez",Meek Mill,Sound M.O.B.,Tory Lanez,,,,,,,,,
1989,,,,,,,Live Is Life,Opus,Opus,,,,,,,,,,,
1990,,,,,,,Live The Night,"W&W, Hardwell, Lil Jon",W&W,Hardwell,Lil Jon,,,,,,,,,
1991,,,,,,,Livin' la Vida Loca,Ricky Martin,Ricky Martin,,,,,,,,,,,
1992,,,,,1986,4,Livin' On A Prayer,Bon Jovi,Bon Jovi,,,,,,,,,,,
1993,,,,,1993,3,Livin' On The Edge,Aerosmith,Aerosmith,,,,,,,,,,,
1994,,,,,2021,3,Lo Vas A Olvidar (with ROSALÍA),"Billie Eilish, ROSALÍA",Billie Eilish,ROSALÍA,,,,,,,,,,
1995,,,,,,,Location,Khalid,Khalid,,,,,,,,,,,
1996,,,,,2020,2,Lockdown,Anderson .Paak,Anderson .Paak,,,,,,,,,,,
1997,,,,,,,Loco,Nightcore,Nightcore,,,,,,,,,,,
1998,Yes,No,,,,,Loco (NIghtcore Remix),Manian,Manian,,,,,,,,,,,
1999,,,,,2019,3,Loco Contigo (with J. Balvin & Tyga),"DJ Snake, J Balvin, Tyga",DJ Snake,J Balvin,Tyga,,,,,,,,,
2000,,,,,,,Lofi Jazz,"Jazz Fruits Music, Formal Chicken, Lofi Fruits Music",Jazz Fruits Music,Formal Chicken,Lofi Fruits Music,,,,,,,,,
2001,Yes,No,,,,,Lolita's Medicine,The Legion of Doom,The Legion of Doom,,,,,,,,,,,
2002,,,,,2008,3,Lollipop,Framing Hanley,Framing Hanley,,,,,,,,,,,
2003,,,,,,,Lollipop,"Lil Wayne, Static Major",Lil Wayne,Static Major,,,,,,,,,,
2004,,,,,2006,3,London Bridge,Fergie,Fergie,,,,,,,,,,,
2005,,,,,,,London Calling,The Clash,The Clash,,,,,,,,,,,
2006,,,,,2004,5,Lonely,Akon,Akon,,,,,,,,,,,
2007,,,,,2020,2,Lonely (with benny blanco),"Justin Bieber, benny blanco",Justin Bieber,benny blanco,,,,,,,,,,
2008,,,,,,,Lonely Boy,The Black Keys,The Black Keys,,,,,,,,,,,
2009,,,,,2005,2,Lonely Day,System Of A Down,System Of A Down,,,,,,,,,,,
2010,,,,,,,Lonely No More,Rob Thomas,Rob Thomas,,,,,,,,,,,
2011,,,,,2017,4,Lonely Together (Feat. Rita Ora),"Avicii, Rita Ora",Avicii,Rita Ora,,,,,,,,,,
2012,,,,,2013,3,Long Live A$AP,A$AP Rocky,A$AP Rocky,,,,,,,,,,,
2013,No,No,Yes,2013,2016,4,Long live.,Instupendo,Instupendo,,,,,,,,,,,
2014,,,,,,,Long Tall Salty (The Thing),Little Richard,Little Richard,,,,,,,,,,,
2015,,,,,1976,3,Long Time,Boston,Boston,,,,,,,,,,,
2016,,,,,1994,5,Longview,Green Day,Green Day,,,,,,,,,,,
2017,,,,,2018,3,Look Alive (feat. Drake),"BlocBoy JB, Drake",BlocBoy JB,Drake,,,,,,,,,,
2018,,,,,,,Look at Me (Remix),TJ Hickey,TJ Hickey,,,,,,,,,,,
2019,,,,,2011,4,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),"Chris Brown, Lil Wayne, Busta Rhymes",Chris Brown,Lil Wayne,Busta Rhymes,,,,,,,,,
2020,,,,,,,Look At Me!,XXXTENTACION,XXXTENTACION,,,,,,,,,,,
2021,Yes,No,,,,,Look Out For Detox,Kendrick Lamar,Kendrick Lamar,,,,,,,,,,,
2022,,,,,2003,3,Look What You've Done,Jet,Jet,,,,,,,,,,,
2023,,,,,,,Looking For Me,Paul Woolford Diplo Kareen Lomax,Paul Woolford Diplo Kareen Lomax,,,,,,,,,,,
2024,,,,,2015,5,Lord Pretty Flacko Jodye 2 (LPFJ2),A$AP Rocky,A$AP Rocky,,,,,,,,,,,
2025,,,,,,,Lord Willin',Logic,Logic,,,,,,,,,,,
2026,,,,,2015,2,Lose Control,Hedley,Hedley,,,,,,,,,,,
2027,,,,,,,Lose Somebody,"Kygo, One Republic",Kygo,One Republic,,,,,,,,,,
2028,,,,,2002,5,Lose Yourself,Eminem,Eminem,,,,,,,,,,,
2029,,,,,1994,3,Loser,Beck,Beck,,,,,,,,,,,
2030,,,,,2018,2,Losing It,FISHER,FISHER,,,,,,,,,,,
2031,,,,,2006,4,Lost,Red,Red,,,,,,,,,,,
2032,,,,,,,Lost (feat. Jordan Hart),"Lucky Rose, Jordan Hart",Lucky Rose,Jordan Hart,,,,,,,,,,
2033,,,,,,,Lost Boy,Ruth B.,Ruth B.,,,,,,,,,,,
2034,,,,,,,Lost In Japan - Remix,"Shawn Mendes, Zedd",Shawn Mendes,Zedd,,,,,,,,,,
2035,,,,,2020,2,Lost In Yesterday,Tame Impala,Tame Impala,,,,,,,,,,,
2036,,,,,2006,3,Lost in You,Three Days Grace,Three Days Grace,,,,,,,,,,,
2037,,,,,,,Lotus Inn,Why Don't We,Why Don't We,,,,,,,,,,,
2038,,,,,,,Loudest MF,"Yellow Claw, Bok Nero",Yellow Claw,Bok Nero,,,,,,,,,,
2039,,,,,,,Louie Louie,The Kingsmen,The Kingsmen,,,,,,,,,,,
2040,,,,,2006,3,Love Addict,Family Force 5,Family Force 5,,,,,,,,,,,
2041,,,,,,,Love Again (feat. Alida),"Alok, Alida",Alok,Alida,,,,,,,,,,
2042,,,,,2013,3,Love Game,"Eminem, Kendrick Lamar",Eminem,Kendrick Lamar,,,,,,,,,,
2043,,,,,2006,3,Love Generation,"Bob Sinclar, Gary Pine",Bob Sinclar,Gary Pine,,,,,,,,,,
2044,,,,,,,Love Goes Down,Plan B,Plan B,,,,,,,,,,,
2045,,,,,,,Love Hurts,Nazareth,Nazareth,,,,,,,,,,,
2046,,,,,2008,2,Love Lockdown,Kanye West,Kanye West,,,,,,,,,,,
2047,,,,,,,Love Me Do,The Beatles,The Beatles,,,,,,,,,,,
2048,,,,,,,Love Me Less (feat. Quinn XCII),MAX Quinn XCII,MAX Quinn XCII,,,,,,,,,,,
2049,,,,,2015,3,Love Me Like You Do,Ellie Goulding,Ellie Goulding,,,,,,,,,,,
2050,,,,,2016,3,Love Myself,Hailee Steinfeld,Hailee Steinfeld,,,,,,,,,,,
2051,,,,,,,Love No More,"Loud Luxury, anders",Loud Luxury,anders,,,,,,,,,,
2052,,,,,,,Love On The Brain,Rihanna,Rihanna,,,,,,,,,,,
2053,,,,,,,Love Runs Out,OneRepublic,OneRepublic,,,,,,,,,,,
2054,,,,,,,Love Scars,Trippie Redd,Trippie Redd,,,,,,,,,,,
2055,,,,,,,Love Shack,The B-52's,The B-52's,,,,,,,,,,,
2056,,,,,,,Love Song,Sara Bareilles,Sara Bareilles,,,,,,,,,,,
2057,,,,,2018,2,Love Songs,Kaash Paige,Kaash Paige,,,,,,,,,,,
2058,,,,,2008,4,Love Story,Taylor Swift,Taylor Swift,,,,,,,,,,,
2059,,,,,,,Love To Lay,The Weeknd,The Weeknd,,,,,,,,,,,
2060,,,,,,,Love You Like A Love Song,Selena Gomez & The Scene,Selena Gomez & The Scene,,,,,,,,,,,
2061,,,,,2015,2,Love Yourself,Justin Bieber,Justin Bieber,,,,,,,,,,,
2062,,,,,2017,4,Love$ick (feat. A$AP Rocky),"Mura Masa, A$AP Rocky",Mura Masa,A$AP Rocky,,,,,,,,,,
2063,,,,,,,LOVE. FEAT. ZACARI.,"Kendrick Lamar, Zacari",Kendrick Lamar,Zacari,,,,,,,,,,
2064,,,,,,,Lovefool,The Cardigans,The Cardigans,,,,,,,,,,,
2065,,,,,2014,3,Lovers On The Sun (Feat. Sam Smith),"David Guetta, Sam Martin",David Guetta,Sam Martin,,,,,,,,,,
2066,,,,,,,Lovesong for a Deadman (Tranzit Loading Screen Song),Mr.Meeseeks Piano,Mr.Meeseeks Piano,,,,,,,,,,,
2067,,,,,2006,3,LoveStoned / I Think She Knows Interlude,Justin Timberlake,Justin Timberlake,,,,,,,,,,,
2068,,,,,2008,4,Low (Feat. T-Pain),"Flo Rida, T-Pain",Flo Rida,T-Pain,,,,,,,,,,
2069,,,,,2016,2,Low Life,"Future, The Weeknd",Future,The Weeknd,,,,,,,,,,
2070,,,,,,,Low Rider,War,War,,,,,,,,,,,
2071,,,,,,,LOYALTY. FEAT. RIHANNA.,"Kendrick Lamar, Rihanna",Kendrick Lamar,Rihanna,,,,,,,,,,
2072,,,,,2003,2,Lucifer,JAY-Z,JAY-Z,,,,,,,,,,,
2073,,,,,2008,3,Lucky,"Jason Maraz, Colbie Caillat",Jason Maraz,Colbie Caillat,,,,,,,,,,
2074,,,,,,,Lucy In The Sky With Diamonds,The Beatles,The Beatles,,,,,,,,,,,
2075,,,,,,,LUMBERJACK,"Tyler, The Creator","Tyler, The Creator",,,,,,,,,,,
2076,,,,,,,Lush Life,Zara Larsson,Zara Larsson,,,,,,,,,,,
2077,,,,,2003,4,Lying from You,Linkin Park,Linkin Park,,,,,,,,,,,
2078,,,,,2015,2,M'$ (feat. Lil Wayne),"A$AP Rocky, Lil Wayne",A$AP Rocky,Lil Wayne,,,,,,,,,,
2079,,,,,,,m.A.A.d city,"Kendrick Lamar, MC Eiht",Kendrick Lamar,MC Eiht,,,,,,,,,,
2080,,,,,,,M.P.A.,"Pusha T, Kanye West, A$AP Rocky, The-Dream",Pusha T,Kanye West,A$AP Rocky,The-Dream,,,,,,,,
2081,,,,,,,Ma Poubelle,Sum 41,Sum 41,,,,,,,,,,,
2082,,,,,,,Macarena,Los Del Rio,Los Del Rio,,,,,,,,,,,
2083,,,,,2018,3,Machika,"J Balvin, Jeon, Anitta",J Balvin,Jeon,Anitta,,,,,,,,,
2084,,,,,2018,4,Machika - Dillon Francis Remix,"J Balvin, Jeon, Anitta, Dillon Francis",J Balvin,Jeon,Anitta,Dillon Francis,,,,,,,,
2085,,,,,2018,3,Machika - Remix,"J Balvin, G-Eazy, Sfera Ebbasta, Anitta, MC Fioti, Duki, Jeon",J Balvin,G-Eazy,Sfera Ebbasta,Anitta,MC Fioti,Duki,Jeon,,,,,
2086,,,,,,,Mack the Knife,Michael Bublé,Michael Bublé,,,,,,,,,,,
2087,,,,,2000,2,Macy's Day Parade,Green Day,Green Day,,,,,,,,,,,
2088,,,,,2020,3,Mad World,"Timmy Trumpet, Gabry Ponte",Timmy Trumpet,Gabry Ponte,,,,,,,,,,
2089,,,,,2002,5,Mad World (Feat. Michael Andrews),"Gary Jules, Michael Andrews",Gary Jules,Michael Andrews,,,,,,,,,,
2090,,,,,2019,3,Magenta Riddim,DJ Snake,DJ Snake,,,,,,,,,,,
2091,,,,,2010,4,Magic (Feat. Rivers Cuomo),"B.o.B, Rivers Cuomo",B.o.B,Rivers Cuomo,,,,,,,,,,
2092,,,,,,,Magic Carpet Ride,Steppenwolf,Steppenwolf,,,,,,,,,,,
2093,,,,,,,Magic In The Hamptons (feat. Lil Yachty),"Social House, Lil Yachty",Social House,Lil Yachty,,,,,,,,,,
2094,,,,,,,Magic Stick,Lil' Kim,Lil' Kim,,,,,,,,,,,
2095,,,,,,,Magic Trick,"Borgore, Juicy J",Borgore,Juicy J,,,,,,,,,,
2096,,,,,2015,3,Magnets,"Disclosure, Lorde",Disclosure,Lorde,,,,,,,,,,
2097,,,,,2015,2,Magnolia,"$uicideBoy$, KirbLaGoop",$uicideBoy$,KirbLaGoop,,,,,,,,,,
2098,,,,,,,Magnolia,Playboi Carti,Playboi Carti,,,,,,,,,,,
2099,,,,,,,Mahogany,Lil Wayne,Lil Wayne,,,,,,,,,,,
2100,,,,,1983,3,Major Tom (Coming Home),Peter Schilling,Peter Schilling,,,,,,,,,,,
2101,,,,,,,Make Her Say,"Kid Cudi, Kanye West, Common",Kid Cudi,Kanye West,Common,,,,,,,,,
2102,,,,,2019,4,Make It Better (Feat. Smokey Robinson),"Anderson .Paak, Smokey Robinson",Anderson .Paak,Smokey Robinson,,,,,,,,,,
2103,,,,,,,Make It Bun Dem,"Skrillex, Damian Marley",Skrillex,Damian Marley,,,,,,,,,,
2104,,,,,2019,2,Make It Hot,"Major Lazer, Anitta, Diplo",Major Lazer,Anitta,Diplo,,,,,,,,,
2105,,,,,2019,2,Make It Hot - Dee Mad & Sky Remix,"Major Lazer, Diplo, Anitta, Dee Mad, Sky Rompiendo",Major Lazer,Diplo,Anitta,Dee Mad,Sky Rompiendo,,,,,,,
2106,,,,,2019,3,Make It Right (feat. Lauv) [Acoustic Remix],"BTS, Lauv",BTS,Lauv,,,,,,,,,,
2107,,,,,,,Make Me Bad,Korn,Korn,,,,,,,,,,,
2108,,,,,2016,3,Make Me... (feat. G-Eazy),"Britney Spears, G-Eazy",Britney Spears,G-Eazy,,,,,,,,,,
2109,No,No,,,2011,4,Make Up Sex,G-Eazy,G-Eazy,,,,,,,,,,,
2110,,,,,2006,5,MakeDamnSure,Taking Back Sunday,Taking Back Sunday,,,,,,,,,,,
2111,,,,,2007,3,Makes Me Wonder,Maroon 5,Maroon 5,,,,,,,,,,,
2112,,,,,,,Makes No Difference - Alternate Version,Sum 41,Sum 41,,,,,,,,,,,
2113,,,,,,,Maldad (with Maluma),"Steve Aoki, Maluma",Steve Aoki,Maluma,,,,,,,,,,
2114,,,,,2018,3,Mama (feat. Ellie Goulding),"Clean Bandit, Ellie Goulding",Clean Bandit,Ellie Goulding,,,,,,,,,,
2115,,,,,,,Mama Mia,Lil Wayne,Lil Wayne,,,,,,,,,,,
2116,,,,,,,Mama Said Knock You Out,LL Cool J,LL Cool J,,,,,,,,,,,
2117,,,,,,,Mama/Show Love (feat. YBN Cordae),"Logic, YBN Cordae",Logic,YBN Cordae,,,,,,,,,,
2118,,,,,,,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",Black Eyed Peas,Ozuna,J. Rey Soul,,,,,,,,,
2119,,,,,,,Mamacita (feat. Rich Homie Quan & Young Thug),"Travis Scott, Rich Homie Quan, Young Thug",Travis Scott,Rich Homie Quan,Young Thug,,,,,,,,,
2120,,,,,,,Mambo No. 5 (A Little Bit of...),Lou Bega,Lou Bega,,,,,,,,,,,
2121,,,,,1975,4,Mamma Mia,ABBA,ABBA,,,,,,,,,,,
2122,,,,,2013,3,Mammoth,"Dimitri Vegas & Like Mike, Moguai",Dimitri Vegas & Like Mike,Moguai,,,,,,,,,,
2123,,,,,2017,3,Man Listen,Belly,Belly,,,,,,,,,,,
2124,,,,,,,Man Of The Year,ScHoolboy Q,ScHoolboy Q,,,,,,,,,,,
2125,,,,,,,Man On The Moon,Kid Cudi,Kid Cudi,,,,,,,,,,,
2126,,,,,1999,2,Man! I Feel Like A Woman!,Shania Twain,Shania Twain,,,,,,,,,,,
2127,,,,,1982,3,Maneater,Daryl Hall & John Oates,Daryl Hall & John Oates,,,,,,,,,,,
2128,,,,,,1.5,Maneater,Nelly Furtado,Nelly Furtado,,,,,,,,,,,
2129,,,,,2014,3,Maps,Maroon 5,Maroon 5,,,,,,,,,,,
2130,,,,,,,Maps,Yeah Yeah Yeahs,Yeah Yeah Yeahs,,,,,,,,,,,
2131,,,,,2003,3,Maria (I Like It Loud),"Scooter, Marc Acardipane, Dick Rules",Scooter,Marc Acardipane,Dick Rules,,,,,,,,,
2132,,,,,2003,2,Maria (I Like It Loud),Scooter,Scooter,,,,,,,,,,,
2133,No,,,,2004,1,Maria (I Like It Loud),Abandon All Ships,Abandon All Ships,,,,,,,,,,,
2134,,,,,,,Maria Maria (feat. The Product G&B) - Radio Mix,"Santana, The Product G&B",Santana,The Product G&B,,,,,,,,,,
2135,,,,,2012,4,Marilyn (feat. Dominique Le Jeune),"G-Eazy, Dominique Le Jeune",G-Eazy,Dominique Le Jeune,,,,,,,,,,
2136,,,,,2010,5,Marry You,Bruno Mars,Bruno Mars,,,,,,,,,,,
2137,,,,,,,Martians Vs Goblins,"The Game, Lil Wayne, Tyler, The Creator",The Game,Lil Wayne,Tyler,The Creator,,,,,,,,
2138,,,,,2015,3,Marvin Gaye (feat. Meghan Trainor),"Charlie Puth, Meghan Trainor",Charlie Puth,Meghan Trainor,,,,,,,,,,
2139,,,,,,,Mas Que Nada,"Sergio Mendes, Black Eyed Peas",Sergio Mendes,Black Eyed Peas,,,,,,,,,,
2140,,,,,2017,3,Mask Off,Future,Future,,,,,,,,,,,
2141,,,,,,,Master Groove,WizKid,WizKid,,,,,,,,,,,
2142,,,,,,,Master of Puppets,Metallica,Metallica,,,,,,,,,,,
2143,,,,,2013,2,MATANGI,M.I.A.,M.I.A.,,,,,,,,,,,
2144,,,,,,,Maxwell's Silver Hammer,The Beatles,The Beatles,,,,,,,,,,,
2145,,,,,,,McQueen,"TrifeDrew, Murda Beatz",TrifeDrew,Murda Beatz,,,,,,,,,,
2146,,,,,2006,2,Me & U,Cassie,Cassie,,,,,,,,,,,
2147,,,,,2020,2,me & ur ghost,blackbear,blackbear,,,,,,,,,,,
2148,,,,,,,Me And My Broken Heart,Rixton,Rixton,,,,,,,,,,,
2149,,,,,2016,4,Me and Your Mama,Childish Gambino,Childish Gambino,,,,,,,,,,,
2150,,,,,2019,3,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie",Taylor Swift,Brendon Urie,,,,,,,,,,
2151,,,,,2015,3,"Me, Myself & I","G-Eazy, Bebe Rexha",G-Eazy,Bebe Rexha,,,,,,,,,,
2152,,,,,2018,3,ME+YOU (feat. Hazlett),"SUPER CRUEL, Hazlett",SUPER CRUEL,Hazlett,,,,,,,,,,
2153,,,,,2017,4,Meant to Be (Feat. Florida Georgia Line),"Bebe Rexha, Florida Georgia Line",Bebe Rexha,Florida Georgia Line,,,,,,,,,,
2154,,,,,2003,3,Meant to Live,Switchfoot,Switchfoot,,,,,,,,,,,
2155,,,,,2006,2,Medley: Summer Love / Set the Mood (Prelude),Justin Timberlake,Justin Timberlake,,,,,,,,,,,
2156,,,,,2001,2,Meet Her At The Loveparade (Radio Edit),Da Hool,Da Hool,,,,,,,,,,,
2157,,,,,,,MEGATRON,Nicki Minaj,Nicki Minaj,,,,,,,,,,,
2158,,,,,,,Meiko - Leave The Lights On (Krot Remix),"Meiko, Krot",Meiko,Krot,,,,,,,,,,
2159,,,,,,,Mein Herz brennt,Rammstein,Rammstein,,,,,,,,,,,
2160,,,,,2019,2,Memories,Maroon 5,Maroon 5,,,,,,,,,,,
2161,,,,,2010,4,Memories (feat. Kid Cudi),"David Guetta, Kid Cudi",David Guetta,Kid Cudi,,,,,,,,,,
2162,,,,,2020,2,"Memphis, Pt. 2 (feat. NLE Choppa and A$AP Ferg)",AG Club NLE Choppa A$AP Ferg,AG Club NLE Choppa A$AP Ferg,,,,,,,,,,,
2163,,,,,,,Menina Bonita,DEV,DEV,,,,,,,,,,,
2164,,,,,2012,4,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",Kanye West,Big Sean,Pusha T,2 Chainz,,,,,,,,
2165,,,,,1953,2,Mess Around,Ray Charles,Ray Charles,,,,,,,,,,,
2166,,,,,1979,4,Message In A Bottle,The Police,The Police,,,,,,,,,,,
2167,,,,,,,"Messiah, Pt. 2: 32. Recit Accomp. Thy Rebuke""","George Frideric Handel, Dunedin Consort, John Butt, Susan Hamilton",George Frideric Handel,Dunedin Consort,John Butt,Susan Hamilton,,,,,,,,
2168,,,,,2017,4,Met Gala (feat. Offset),"Gucci Mane, Offset",Gucci Mane,Offset,,,,,,,,,,
2169,,,,,,,Meu Abrigo,Melim,Melim,,,,,,,,,,,
2170,,,,,1998,3,Mexicola,Queens of the Stone Age,Queens of the Stone Age,,,,,,,,,,,
2171,,,,,2017,4,Mi Gente,"J Balvin, Willy William",J Balvin,Willy William,,,,,,,,,,
2172,,,,,,,Mi Mi Mi,Nightcore,Nightcore,,,,,,,,,,,
2173,Yes,No,,,,,Mi Mi Mi (NIghtcore Remix),SEREBRO,SEREBRO,,,,,,,,,,,
2174,,,,,,,Miami,Will Smith,Will Smith,,,,,,,,,,,
2175,,,,,2010,2,Miami 2 Ibiza ,"Sweedish House Mafia, Tinie Tempah",Sweedish House Mafia,Tinie Tempah,,,,,,,,,,
2176,,,,,2017,4,MIC Drop (Feat. Desiigner) [Steve Aoki Remix],"BTS, Desiigner, Steve Aoki",BTS,Desiigner,Steve Aoki,,,,,,,,,
2177,,,,,,,Michael's Christmas Greeting - Hidden Track,Michael Bublé,Michael Bublé,,,,,,,,,,,
2178,,,,,,,Mickey,Toni Basil,Toni Basil,,,,,,,,,,,
2179,,,,,2016,3,Middle,"DJ Snake, Bipolar Sunshine",DJ Snake,Bipolar Sunshine,,,,,,,,,,
2180,,,,,2018,5,Midsummer Madness,"88rising, Joji, Rich Brian, Higher Brothers, AUGUST 08",88rising,Joji,Rich Brian,Higher Brothers,08-Aug,,,,,,,
2181,,,,,2020,3,"Midsummer Madness 20 (feat. Joji, Rich Brian, Higher Brothers & AUGUST 08)","88rising, Joji, Rich Brian, Higher Brothers, AUGUST 08, Danny Ocean",88rising,Joji,Rich Brian,Higher Brothers,08-Aug,Danny Ocean,,,,,,
2182,,,,,,,Milkshake,TRFN,TRFN,,,,,,,,,,,
2183,,,,,,,Million Voices - Radio Edit,Otto Knows,Otto Knows,,,,,,,,,,,
2184,,,,,2018,3,Mine,Bazzi,Bazzi,,,,,,,,,,,
2185,,,,,,,Mine,"Felix Cartal, Sophie Simmons",Felix Cartal,Sophie Simmons,,,,,,,,,,
2186,,,,,2018,3,Mine - Bazzi vs. Nitti Gritti Remix,"Bazzi vs., Nitti Gritti",Bazzi vs.,Nitti Gritti,,,,,,,,,,
2187,,,,,2000,4,Minority,Green Day,Green Day,,,,,,,,,,,
2188,,,,,2020,2,Mirror,Porter Robinson,Porter Robinson,,,,,,,,,,,
2189,,,,,2013,2,Mirrors,Justin Timberlake,Justin Timberlake,,,,,,,,,,,
2190,,,,,,,Mis Deseos / Feliz Navidad (with Thalia),"Michael Bublé, Thalía",Michael Bublé,Thalía,,,,,,,,,,
2191,,,,,2012,3,Miserlou,Dick Dale,Dick Dale,,,,,,,,,,,
2192,,,,,2011,4,Misery,Maroon 5,Maroon 5,,,,,,,,,,,
2193,,,,,2000,3,Misery,Green Day,Green Day,,,,,,,,,,,
