ID,Downloaded,Spotify,Remake,Remake ID,Year,Rating,Song,Artists,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6,Artist 7,Artist 8,Artist 9,Artist 10,Artist 11,Christmas
88,,,,,2013,2,Afraid,The Neighbourhood,The Neighbourhood,,,,,,,,,,,
89,,,,,1982,4,Africa,TOTO,TOTO,,,,,,,,,,,
90,,,,,2018,3,After Dark,"Drake, Static Major, Ty Dolla $ign",Drake,Static Major,Ty Dolla $ign,,,,,,,,,
91,,,,,2020,2,After Party,Don Toliver,Don Toliver,,,,,,,,,,,
92,,,,,2018,3,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)","Kali Uchis Tyler, Tyler, The Creator, Bootsy Collins",Kali Uchis,"Tyler, The Creator",Bootsy Collins,,,,,,,,,
93,,,,,2015,3,Afterhours feat. Diplo & Nina Sky,"TroyBoi, Diplo, Nina Sky",TroyBoi,Diplo,Nina Sky,,,,,,,,,
94,Yes,No,,,2011,3,Again and Again,Basto,Basto,,,,,,,,,,,
95,,,,,2018,2,AGEN WIDA,"JOYRYDE, Skrillex",JOYRYDE,Skrillex,,,,,,,,,,
96,,,,,2020,2,Aggy,"Jackboy, Tyga",Jackboy,Tyga,,,,,,,,,,
97,,,,,2016,4,Ain't Gon' Stop,Sol,Sol,,,,,,,,,,,
98,,,,,2013,3,Ain't It Fun,Paramore,Paramore,,,,,,,,,,,
99,,,,,2017,3,Ain't My Fault,Zara Larsson,Zara Larsson,,,,,,,,,,,
100,,,,,1967,3,Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",Marvin Gaye,Tammi Terrell,,,,,,,,,,
101,,,,,2006,3,Ain't No Other Man,Christina Aguilera,Christina Aguilera,,,,,,,,,,,
102,,,,,2009,4,Ain't No Rest For The Wicked,Cage The Elephant,Cage The Elephant,,,,,,,,,,,
103,,,,,2018,4,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),"Felix Jaehn, Jasmine Thompson",Felix Jaehn,Jasmine Thompson,,,,,,,,,,
104,,,,,2013,2,Ain't That Some Shit (Interlude),J. Cole,J. Cole,,,,,,,,,,,
105,,,,,2015,3,Airplanes (Feat. Hayley Williams),"B.o.B, Hayley Williams",B.o.B,Hayley Williams,,,,,,,,,,
106,,,,,2015,3,"Airplanes, Pt. II (Feat. Eminem & Hayley Williams)","B.o.B, Eminem, Hayley Williams",B.o.B,Eminem,Hayley Williams,,,,,,,,,
107,,,,,2016,2,Alarm,Anne-Marie,Anne-Marie,,,,,,,,,,,
108,,,,,2018,2,Album of the Year - Freestyle,J. Cole,J. Cole,,,,,,,,,,,
109,,,,,2020,3,Algorhythm,Childish Gambino,Childish Gambino,,,,,,,,,,,
110,,,,,2012,5,Alive,Krewella,Krewella,,,,,,,,,,,
